value,label
1,- propedeuse behaald - doctoraal examen -WO; 1e fase- behaald (t/m 1992-1993) - afsluitend examen -HBO; hoofdfase behaald (idem) - afsluitend examen 2e fase behaald (idem) - afsluitend examen initieel onderwijs behaald (vanaf 1993-1994) - afsluitend examen vervolgonderwijs behaald (idem)
2,studie gestaakt
3,afstuderen of examenresultaat aangeleverd na 1 november van het actuele inschrijvingsjaar. Afstuderen telt niet mee voor de bekostiging (mogelijk vanaf inschrijvingsjaar 1995-1996)
4,studiestaker aangeleverd na 1 november van het actuele inschrijvingsjaar. Studiestaken telt niet mee voor de bekostiging (mogelijk vanaf inschrijvingsjaar 1995-1996)
5,kandidaatsexamen behaald (mogelijk vanaf inschrijvingsjaar 1998-1999)
6,tussentijds doctoraal examen behaald (mogelijk vanaf inschrijvingsjaar 1998-1999)
7,behaald kandidaatsexamen aangeleverd na 1 november van het actuele inschrijvingsjaar. Behaald kandidaatsexamen telt niet mee voor bekostiging (mogelijk vanaf inschrijvingsjaar 1998-1999)
8,behaald tussentijds doctoraal examen aangeleverd na 1 november van het actuele inschrijvingsjaar. Behaald aanvullend examen telt niet mee voor bekostiging (mogelijk vanaf inschrijvingsjaar 1998-1999)
9,diploma die niet voor bekostiging in aanmerking moet worden genomen (mogelijk vanaf 1 februari 2001)
NA,geen examen
