value,label
1,onderwijs
2,landbouw en natuurlijke omgeving
3,natuur
4,techniek
5,gezondheidszorg
6,economie
7,recht
8,gedrag en maatschappij
9,taal en cultuur
0,sectoroverstijgend
X,opleiding telt niet mee (*) (*) Dit geldt voor de volgende hbo-opleidingen: 04439 Rangenopleiding 04582 Voortgezette opleiding in de gezondheidszorg voor management 04583 Voortgezette opleiding in de gezondheidszorg voor beroepsinnov. 04680 Kaderopleiding opbouwwerk 04681 Voortgezette agogische beroepsopleiding 05354 3e stuurman 05504 2-jarige hbo-cursus (21 kleine leerstofgebieden) hbo dt en voor de volgende wo-opleiding: 11111 opleiding tbv studievoortgang
