value,label
NA,niet ingeschreven aan een University College
A,University College Utrecht (UCU) (vanaf 1998)
B,University College Roosevelt (UCR) (vanaf 2004)
C,Leiden University College (LUC) (vanaf 2012)
D,International Studies (Universiteit Leiden) (IS) (vanaf 2012)
E,University College Maastricht (UCM) (vanaf 2011)
F,Maastricht Science Programme (MSP) (vanaf 2011)
G,Amsterdam University College (AUC) (vanaf 2009)
H,Erasmus University College (EUC) (vanaf 2013)
K,University College Twente (UCT) (vanaf 2013)
L,University College Groningen (UCG) (vanaf 2014)
M,University College Venlo (UCV) (vanaf 2015)
N,University College Tilburg (UCTilburg) (vanaf 2016)
