value,label
0,Onder 18
1,Onder 18
2,Onder 18
3,Onder 18
4,Onder 18
5,Onder 18
6,Onder 18
7,Onder 18
8,Onder 18
9,Onder 18
10,Onder 18
11,Onder 18
12,Onder 18
13,Onder 18
14,Onder 18
15,Onder 18
16,Onder 18
17,Onder 18
18,18
19,19
20,20
21,21-22
22,21-22
23,22-24
24,22-24
25,25 en ouder
26,25 en ouder
27,25 en ouder
28,25 en ouder
29,25 en ouder
30,25 en ouder
31,25 en ouder
32,25 en ouder
33,25 en ouder
34,25 en ouder
35,25 en ouder
36,25 en ouder
37,25 en ouder
38,25 en ouder
39,25 en ouder
40,25 en ouder
41,25 en ouder
42,25 en ouder
43,25 en ouder
44,25 en ouder
45,25 en ouder
46,25 en ouder
47,25 en ouder
48,25 en ouder
49,25 en ouder
50,25 en ouder
51,25 en ouder
52,25 en ouder
53,25 en ouder
54,25 en ouder
55,25 en ouder
56,25 en ouder
57,25 en ouder
58,25 en ouder
59,25 en ouder
60,25 en ouder
61,25 en ouder
62,25 en ouder
63,25 en ouder
64,25 en ouder
65,25 en ouder
66,25 en ouder
67,25 en ouder
68,25 en ouder
69,25 en ouder
70,25 en ouder
71,25 en ouder
72,25 en ouder
73,25 en ouder
74,25 en ouder
75,25 en ouder
76,25 en ouder
77,25 en ouder
78,25 en ouder
79,25 en ouder
80,25 en ouder
81,25 en ouder
82,25 en ouder
83,25 en ouder
84,25 en ouder
85,25 en ouder
86,25 en ouder
87,25 en ouder
88,25 en ouder
89,25 en ouder
90,25 en ouder
91,25 en ouder
92,25 en ouder
93,25 en ouder
94,25 en ouder
95,25 en ouder
96,25 en ouder
97,25 en ouder
98,25 en ouder
99,25 en ouder
