value,label
0,jonger dan 20 jaar
1,jonger dan 20 jaar
2,jonger dan 20 jaar
3,jonger dan 20 jaar
4,jonger dan 20 jaar
5,jonger dan 20 jaar
6,jonger dan 20 jaar
7,jonger dan 20 jaar
8,jonger dan 20 jaar
9,jonger dan 20 jaar
10,jonger dan 20 jaar
11,jonger dan 20 jaar
12,jonger dan 20 jaar
13,jonger dan 20 jaar
14,jonger dan 20 jaar
15,jonger dan 20 jaar
16,jonger dan 20 jaar
17,jonger dan 20 jaar
18,jonger dan 20 jaar
19,jonger dan 20 jaar
20,20-24 jaar
21,20-24 jaar
22,20-24 jaar
23,20-24 jaar
24,20-24 jaar
25,25-29 jaar
26,25-29 jaar
27,25-29 jaar
28,25-29 jaar
29,25-29 jaar
30,30-34 jaar
31,30-34 jaar
32,30-34 jaar
33,30-34 jaar
34,30-34 jaar
35,35-39 jaar
36,35-39 jaar
37,35-39 jaar
38,35-39 jaar
39,35-39 jaar
40,40-44 jaar
41,40-44 jaar
42,40-44 jaar
43,40-44 jaar
44,40-44 jaar
45,45 jaar en ouder
46,45 jaar en ouder
47,45 jaar en ouder
48,45 jaar en ouder
49,45 jaar en ouder
50,45 jaar en ouder
51,45 jaar en ouder
52,45 jaar en ouder
53,45 jaar en ouder
54,45 jaar en ouder
55,45 jaar en ouder
56,45 jaar en ouder
57,45 jaar en ouder
58,45 jaar en ouder
59,45 jaar en ouder
60,45 jaar en ouder
61,45 jaar en ouder
62,45 jaar en ouder
63,45 jaar en ouder
64,45 jaar en ouder
65,45 jaar en ouder
66,45 jaar en ouder
67,45 jaar en ouder
68,45 jaar en ouder
69,45 jaar en ouder
70,45 jaar en ouder
71,45 jaar en ouder
72,45 jaar en ouder
73,45 jaar en ouder
74,45 jaar en ouder
75,45 jaar en ouder
76,45 jaar en ouder
77,45 jaar en ouder
78,45 jaar en ouder
79,45 jaar en ouder
80,45 jaar en ouder
81,45 jaar en ouder
82,45 jaar en ouder
83,45 jaar en ouder
84,45 jaar en ouder
85,45 jaar en ouder
86,45 jaar en ouder
87,45 jaar en ouder
88,45 jaar en ouder
89,45 jaar en ouder
90,45 jaar en ouder
91,45 jaar en ouder
92,45 jaar en ouder
93,45 jaar en ouder
94,45 jaar en ouder
95,45 jaar en ouder
96,45 jaar en ouder
97,45 jaar en ouder
98,45 jaar en ouder
99,45 jaar en ouder
