value,label
NA,geen examen geregistreerd
A,associate degree
B,bachelor
C,tegelijkertijd behaald tussentijds doctoraal en beroepsdiploma artsen-; tandartsen-; dierenartsen- en apothekersopleidingen
D,propedeuse bachelor / propedeuse associate degree
I,initiele opleiding (voornamelijk betreft dit ongedeelde opleidingen)
M,master
O,oude stijl (toegestaan t/m inschrijvingsjaar 1992/1993)
P,propedeuse (voornamelijk betreft dit ongedeelde opleidingen)
Q,post-initiele master
Z,beroepsfase artsen-; tandartsen-; dierenartsen- en apothekersopleidingen
